,Unnamed: 0,content,data,like,place,tags,kor_nouns
0,0,속눈썹 왜이래???,2021-01-22,좋아요 286개,,[],['속눈썹']
1,1,입술색 청순하게 발라봤어.,2021-01-20,좋아요 218개,방구석,[],"['입술', '색', '발라']"
2,2,아무리 노력해도 '코로나 사망자' 끝없이 나오자 영안실서 눈물 흘린 의료진#의료진 #코로나 #코로나사망자 #거리두기,2021-01-21,"좋아요 5,106개",,"['#의료진', '#코로나', '#코로나사망자', '#거리두기']","['노력', '코로나', '사망자', '영안', '실', '눈물', '의료', '진', '의료', '진', '코로나', '코로나', '사망자', '두기']"
3,3,"이 사진 스토리에 여러번 올려서 살짝 지겹지만 다들 이쁘다 해줬으니까 피드에 올릴랭ㅎ그리고 하나의 티엠아이를 더 말 하자면 이제 영화표 안올림,,!#코로나 #그만",2021-01-22,좋아요 116개,,"['#코로나', '#그만']","['스토리', '살짝', '피드', '올릴랭', '티엠아', '말', '하자', '화표', '코로나']"
4,4,오늘은 편하게 후리스로😊....#남친룩 #데일리룩 #데일리룩코디 #미니멀룩 #미니멀 #dailylook #outfit #코로나 #캐주얼룩 #캐주얼 #캐주얼코디 #무신사스탠다드 #학원룩 #좋아요 #좋아요반사 #좋반 #후리스 #플리스 #코드그라피 #나이키 #nike #볼텍스,2021-01-22,좋아요 135개,,"['#남친룩', '#데일리룩', '#데일리룩코디', '#미니멀룩', '#미니멀', '#outfit', '#코로나', '#캐주얼룩', '#캐주얼', '#캐주얼코디', '#무신사스탠다드', '#학원룩', '#좋아요', '#좋아요반사', '#좋반', '#후리스', '#플리스', '#코드그라피', '#나이키', '#nike', '#볼텍스']","['리스', '남친', '일리', '일리', '코디', '미니', '멀', '미니', '코로나', '얼룩', '캐', '주얼', '캐', '주얼', '코디', '스탠다드', '학원', '리스', '리스', '코드', '라피', '나이키', '볼텍스']"
5,5,오랜만에 찍어보는 셀카 ❣︎___#cafe #instadaily #instagood #instagram #instalike #셀카 #셀스타그램 #selca #selstagram #일상 #일상스타그램 #오오티디 #ootd #daily #데일리 #데일리daily #selfie #selstagram #천안 #코로나 #코로나싫어요😭,2021-01-19,좋아요 159개,"Cheonan, Korea","['#cafe', '#insta', '#instagoo', '#instagram', '#instalike', '#셀카', '#셀스타그램', '#selca', '#selstagram', '#일상', '#일상스타그램', '#오오티디', '#oot', '#데일리', '#데일리', '#selfie', '#selstagram', '#천안', '#코로나', '#코로나싫어요😭']","['스타', '스타', '오오', '티디', '일리', '일리', '천안', '코로나', '코로나']"
6,6,다들 내가 좋은 이유가 뭐야?🤨,2021-01-21,좋아요 866개,,[],"['이유', '뭐']"
7,7,🤍,2021-01-20,좋아요 371개,,[],[]
8,8,오랜만에 커피마셔서 심장이 두근세근,2021-01-22,좋아요 18개,,[],"['커피', '심장', '세근']"
9,9,#'눈앞의 성적'보다 더 중요한' 앞으로의 성장'은 이제 써밋이 책임지겠습니다#대교 써밋#써밋과 함께하는 눈높이 성장판#성장판 덕분에 알아서 잘 하는 우리 아이됩니다.#코로나 학력격차 걱정만 말고 실행에 옮기세요.AI원조학습 써밋,2021-01-22,좋아요,,"[""#'눈앞의"", '#대교', '#써밋과', '#성장판', '#코로나']","['눈앞', '성적', '앞', '성장', '은', '써밋', '대교', '써밋', '써밋', '눈높이', '장판', '장판', '덕분', '코로나', '학력', '격차', '실행', '원조', '학습', '써밋']"
10,10,알배긴거 푸는 근르가즘:)#인스타그램 #일상스타그램 #운동스타그램 #헬스타그램 #헬스 #스포애니 #헬스장 #금요일 #나는 #운동한다 #코로나 #사라져라 #헬린이 #벌크업 #하지만현실은 #돼지 #ㅠㅠ #fff #ootd #f4f,2021-01-22,좋아요 6개,분당,"['#인스타그램', '#일상스타그램', '#운동스타그램', '#헬스타그램', '#헬스', '#스포애니', '#헬스장', '#금요일', '#나는', '#운동한다', '#코로나', '#사라져라', '#헬린이', '#벌크업', '#하지만현실은', '#돼지', '#ㅠㅠ', '#fff', '#oot', '#f4f']","['알', '근르가즘', '스타', '운동', '스타', '헬', '스타', '헬스', '스포', '애니', '헬스장', '금요일', '운동', '코로나', '헬린', '벌', '업', '현실', '돼지']"
11,11,VM휘트니스 제기점은 코로나19 예방을 위해 매일 방역소독을 하고 있습니다!! 안심하고 운동하세요ᕕ( ᐛ )ᕗ,2021-01-22,좋아요 7개,,[],"['휘트니', '스', '기점', '코로나', '예방', '매일', '방역', '소독', '안심', '운동']"
